,Question,Answer
179328,"
   ••`🌸
  ","
  -
  
  حافظ على صديقك ذو العقد النفسية ..لأنه مفاجئ، متجدد، مختلف ، الصديق الطبيعي عادي ،مكرر وممل .
  "
179329,"
   مساحه ✨😜 
مساء الخير
  ","

   مسا الفل
  
"
179330,"
   اضحك بسبب و بدون سبب.. لأن قلة الأدب الحقيقية هي أن تكون حزينا بسبب هذا العالم القذر. 😂??😁👌

#مسااء_الضحك
  ","

   مسا السكر 😁
  
"
179331,"
   -

عن جَجماآل العِباآرة : 😍
                 "" تششاآء ياآ عبدي وأناآ اششاآء .. فإذا رَضضيت
                   بما أششاآء .. أعطيتكگ ماآ تشٍَشاآء ❤""
                              فـ الححَمدُلله 💜يسعد مساكم😊
  ","

   مسا الورد
  
"
179332,"
   💞يسعد مساك 💞
  ","

   مسا الفل
  
"
179333,"
   بداخلي ألم 😢😭
بس مش عارفةةة إذا حبر أو رصاص 😂😂😂😂😂😂😂😂😂😂😂😂😂
لايكاتكم 😍😍 ومساحات باسمي 😘😚
  ","
  😒
  "
179334,"
   أيّها القلب، لا بأس عليك، 
هذا الوجع تكفير، هذا الدّمع تطهير، 
ذلك الفقد خيرٌ لا يعلمه إلّا
العليم الخبير ☁️✨
  ","
  💔💙🌸💙💔
  "
179335,"
   اذا جاءتك الفرصه لاستلام منصب معين مهما كان ، هل ستوافق ؟ ام انت مقتنع بمبدأ انها امانه ويوم القيامه خزي وندامه ؟  بمنحنى اخر هل انت على قدر هكذا مسؤولية ؟
  ","

   دائما بحب التجارب
   
   ازا اجتني الفرصة ما برفضها
   
   لكن بعد التجربة
   
   بحكم ان كنت قادرة اكمل و اكون قد المسؤولية
   
   بكمل ان ما كنت قدها بتراجع وبوكلها ل اللي قدها 👍
  
"
179336,"
   مايا 🙈 مسآحةة ❤
  ","

   حنون 🌸😘💙
  
"
179337,"
   الصباح ، هو محّاولة جديّدة لحُب الحياة ..🌸
صباح الخير ..💛
  ","

   مسا الورد💙
  
"
179338,"
   وحدة كاتبة ...احببتك حبا لو تحول الى ماء لغرق ..العالم باسره........
لك ياجماعة فزوو اومو ...عزلو ...
الفيضان جايي ..من شان ست الحسن والجمال وحبيبها .........
  ","
  🚶🚶🚶🚶
  "
179339,"
   .اسمها ""مناقشة"" .. بس عند أهلي اسمها مراددة و قلة أدب و عقوق والدين .. و ما بتستحي علی حالك و لسانك طويل و كلو من التلفون 😂😂
  ","

   و من السهر 👌
  
"
179340,"
   صباح جديد يٌھدينا أمل 
 ﻴﻤﺤﻱ خيباٺ ﺎﻟﺎمس 
صباح جديد يرﺴﻡ ﻋﻟﹷﺉ ثغرنا
ﺄبتساﻤٰھ تفاۈل تملـﻯ ﺄﻋماقنا فـِرح 💗🍀
  ","

   مساكي فل😘
  
"
179341,"
   صباح الخير يا احلا متابعين بالدنيا 💜😍 
هيني رجعتلكم من بعد غياب 🙊
انا وصلت عمان مبارح بالليل 💪 
وان شاء الله الخميس الصبح مسافر مصر 😁👌 
يلا جهزولي حالكم للاستقبال 😝😝
  ","

   بالسلامة 🌸💙 انا بودعك ما بستقبلك😅
  
"
179342,"
   هل تعلم عزيزي الشب انه حبيبتك لما تشوف شب حلوو بتصير سنجل؟
تعلم ولا لا تعلم !
والله شكلك لا تعلم ! 🐸😂😂😂😂💔
  ","

   انه لا يعلم ✌
  
"
179343,"
   مسآء الهدوء 🌷 ..
 "" لو أن كل أنظار العالم تتجه إليك، ولديك عشر ثوانٍ فقط لتخاطبه، عشر ثوانٍ فقط، ماذا ستقول؟
  ","

   كل منا يحتاج بقعة للأرض ليقف عليها وبقعة تحت الأرض ليرقد فيها....
   
   من فضلكم ... عودو كما اللحظة التي كنتم فيها الأكثر نقاء و طيبة و حب و جبروت و أمل و شغف و إيمان و  "" عظمة  ""... عودو كما لحظة ميلادكم,  خاليين من كل شيء إلا الحق .
  
"
179344,"
   نصيحة العُمر : بلاش تصدقوا الحكي الطويل و الحلو،خُذوا الحقيقة من أفواه المواقف وانتهى
#يسعد مساكم 😊😊
  ","

   مسا الورد
  
"
179345,"
   Follow
  ","
  Back
  "
179346,"
   يسسعد صبآحكك مايآ .
  ","

   سويطي🌸
   
   يسعد صباحك وقلبك 💙
  
"
179347,"
   مهما بحثت عن مكان
أو عن ألف ملجأ
وألف ألف مأوى
لنْ تجد جبرًا كجبْرِ الله💙💙
ولا لطفًا كلطْفِ الله
يطيِّب خاطرك 💙💙
يُهيء لك الأسباب من حيث لا تشعر😊
صباح التوكل على من لا يخيب من يلجأ إليه😊
صباح الثقة في جميل تدبيره وكرمه ولطفه😊
صباح السكينة والطمأنينة 😊
مي💙💙
يسعد صباحك وقلبك😊😊
  ","

   ونعم بالله 🌸
   
   يسعد صباحك نادر💙
   
   وموفق💚
  
"
179348,"
   بجيب عنك علامات الاربعا فلويد امتحان😂😂شو بفهمكم بالهندسة
  ","

   اها go to hell ✌
  
"
179349,"
   ههه اه الاربعا فلويد
  ","

   ايييش؟
  
"
179350,"
   شي كبير 🌸💚
  ","

   عزيز وغالي😉😘
  
"
179351,"
   انا رح اجيب عنك علامات 😅😅
  ","

   يووو كانت 😒
  
"
179352,"
   والله وانا بحبك كثير واشتقتلك
  ","

   و انا يعمري 😍😍😘 مس يو اكتر ❤❤❤
  
"
179353,"
   جد رح تعطليه ومين راح يبعت مساحات حلوة 😎😏
  ","

   و مين رح يجيب علامات حلوة 🌸
  
"
179354,"
   سكرين شوت لقائمة المفضلة عندك
  ","

   @AbdallahAlHidy
  


   @saranice77920
  


   @ALOOSH88643989
  


   @wafaa123456789
  

  @....
  

   @asallakhalid6
  


   @almakhu
  

  بحوبكم ❤🌸💙
  "
179355,"
   مساحة حلوة قبل التعطيل 😛😜
  ","
  🌸💙🌸
  "
179356,"
   هههههههههههه خلص هي زبطتك بالمساحه 😂
  ","
  ✌💙
  "
179357,"
   😂 طلعتيني بسواد الوجه
  ","

   هههههه لا ما عاش اللي يسود وجهك  😍😂
  
"
179358,"
   واضح انه انون لطيف ..
  ","

   طلع باليوزر 💪😘
  
"
179359,"
   هههههههههه كنت بتخوث 
وقبل لتسكري المجهول كنت رح ابين اليوزر
  ","

   حيوان من يومك 😂
  
"
179360,"
   محدش يخفف دم ✋🏻
  ","

   بزعلوا فيي 😭💔
  
"
179361,"
   عشان تفارقينا بريحة طيبه 😂😂😂😂😂😂😂😂😂😂
  ","

   ما بلزم
   
   سلامات
  
"
179362,"
   مساء الفل للناس الكل🌸 أكيد بتعرفوا قصة كيف بدنا نحط فيل في ثلاجة بثلاث خطوات ،طبعاً بديش اخرفها لانها تافهة جداً😂بس جاي اقلكم انه في وحدة اسمها همسة بس كبرت صارت ستة 😮 سبحان الله ولا قوة الا بالله. المصيبة  انها جارتها اسمها علياء وصاحبتها اسمها عالواو .لا تعليق ✋🏻😬 لا تنسونا من صالح لايكاتكم
  ","

   بكرهككككك بكرهك
  
"
179363,"
   مساحه قلبي❤️
  ","
  ❤❤
  "
179364,"
   قال رسول الله : ""وهل يكب الناس في النار على وجوههم إلا حصائد ألسنتهم"" .. اللهم احفظ السنتنا عن اعراض الناس وعن النميمه بينهم وعن الكلام الفاحش واجعل السنتنا تنطق لقراءة كتابك الكريم وتسبيحا لك والاصلاح بين الناس والتقريب والتحابب بينهم
  ","

   اللهم آميين ❤
  
"
179365,"
   علمتني الحياةة أن إرضااء الجميعع شيئ #صععب وممل !! 😧
~
~
 بينماا إزعااج الجميعع شيئ #سههل ووممتع 😛😁
✌️✌️
  ","

   بتتعلمي عالمزبوط شكلك
  
"
179366,"
   مين عزيزة ؟
  ","

   ليش
  
"
179367,"

    @zozororo111
   
   متابعة لهاي الوحدة .. والله مرتبة وبتدعي 
دعاوي من الاخر 🙂🌚🌚🌚
  ","

   اوك
  
"
179368,"
   النفسية محتاجة ..؟! 😧
  ","

   حداآ❤
  
"
179369,"
   آلَطِيِبًوٌنِ عٌنِدٍمًآ يِتٌـألَمًوٌنِ يِصّـمًتٌـوٌنِ ..
  ","

   مشان هيك انا بحكي كتير😈😈
  
"
179370,"
   برأيك...
متى الانسان بيكون مستعد يضحي بكل شي يملكه؟ 😮
  ","

   لما يشوف بعينو اشي بيسوى كل شي بيملكو بيضحي مشانو
  
"
179371,"
   يا بنت انا ما غلطت عليكي تا تغلطة علي. طيب. الله معك
  ","

   اهلا 🌸
  
"
179372,"
   مين هاد
  ","

   ما بعرف
   
   سلام
  
"
179373,"
   طيب ممكن تحكيلي ليش. مدايقة مني
  ","

   تافه وسخيف😊
  
"
179374,"
   مهو لازم تعرفي لاني شبهتك فيها !
  ","

   و عفكرة انت حد حقير وبلا شرف
  
"
179375,"
   في اشي انتي مدايقة مني. حاسك مش طايقتني
  ","

   اكزاكتلي
  
"
179376,"
   طيب ردي ع مرحبا  الحك علي بدي اطمن عليكي
  ","

   اها
  
"
179377,"
   شوفي ع الانترنت مين هي!(؛
  ","

   ما في داعي 😀
  
"
179378,"
   طيب اقل الي من بين. تلاتين سوْال ردي ع. سوْال
  ","

   ليش انت بتسأل 😕 كل اللي بتبعتو مرحبا بزهق
  
"
179379,"
   طيب ليش ما بتردي ع أسئلتي
  ","

   ما بلحق
   
   ما برد عالكل
  
"
179380,"
   وين مختفية صار اشي معك
  ","

   لا ما مختفية
  
"
179381,"
   منيح انك بينتي
  ","
  😞
  "
179382,"
   كم بتوصل عدد المشاهدات عندك عالسناب
  ","

   اول الخمسينات
  
"
179383,"
   بطل حد يسالني فكركو ليش معقول اجوبتي زنخه😭؟
  ","

   ابصر
  
"
179384,"
   مرحبااااا جماعي
  ","

   طيب
  
"
179385,"
   ﻣﺎﺫﺍ ﻟﻮ ﻛﺎﻥ ﺍﻹﻧﺴﺎﻥ ﻳﺴﺘﻐﻔﺮ ﺃﻛﺜﺮ ﻣﻤّﺎ ﻳﺸﺘﻜﻲ؟ ❤
  ","

   ل كان كل شيء على ما يرام
   
   استغفرك ربي و اتوب اليك
  
"
179386,"
   -🍂🍁🍃
  ","

   ما بقدر أتخيل كسرة قلب المخده لما بصحى الصبح وبتركها كيف ثقتها فيي بتنكسر 🐸
  
"
179387,"
   😏😏😏😏👍
  ","

   هههههه
  
"
179388,"
   Current mood. ! 🌺👀
  ","

   سااااااااد
  
"
179389,"
   يسعد مساكم
مساحة
  ","

   مسكة الايد ✋
   
   عن الف عتاب...عن الف جملة....و عن الف موقف 🌸
  
"
179390,"
   مساااااحه لونها اصفر 😡😡
  ","

   هع 👅👅
  
"
179391,"
   لصديق عُمرك 💙 ؛
  ","

   للصديقة المقصوده :
   
   انا لو امتلت دنيتي  اصحاب انتِ كُل اصحاب عُمري💙🔑
   
   ممممم
  
"
179392,"
   مساك سعادة 🌸

صورة 📷❤
  ","

   سلورد 🌸
  
"
179393,"
   عادي بتخيل اذا بدك
  ","

   خد راحتك😂
  
"
179394,"
   ""المرأة التي تترك الطعام المفضل لديها لإنقاص بضعة كيلو جرامات من وزنها، يسهل عليها ترك أي شيء آخر""
|بريجيت باردو| 
😮😂😂
  ","

   هههههههه هاذي قوية 👅
  
"
179395,"
   أبتسسمو 
فكل ما تتمنوهه  
لن يتحقق 
من الأخر يعني
  ","

   انت متخيل كمية السعادة اللي انا مش فيها 💔
  
"
179396,"
   بحياتك لا تتخلى عن حدا بحبك حتى لو غلط 
ما انت نص حياتك غلطان بحق #ربك 
وربك ماتخلى ولا رح يتخلى عنك 💯❤✋كم لايك بطريقك ازا عجبك الكلام
  ","

   و نعم بالله💙🌸
  
"
179397,"
   مساء الحبّ يا كلّ الحبّ ..؟؟

مساء الخير على امرأة
أقامرّ بها كلّ ليلة
كي أخسّر معها رهاني
أخبئُها في صدري
كي لا أورثّها لأحد ثاني
أُداري بها ضعفي وخوفي
وأنتحلّ بها اسمي وعنواني
أعيشُ فصولها وأمارس فيها
طقوس جنوني وهذياني
معجزة في زمن الشعوذة والسحر
و تسخير الإنسّ والجانِّ❤❤
  ","

   مسا الخير؟😁
  
"
179398,"
   ما اجمل الصباح عندما يكون في احبه مثلكم ,صباح اغلى من الالماس لاغلى ناس :) 
صباح الخير :)  <3
  ","

   صباح النور
  
"
179399,"
   كيف تصبحين #أم_جميلة..!!
سمي بنتك الكبيرة #جميلة 😉😜
أكتر من هيك ما بحسن أفيدك 👌😂😂
اكيد مارح قلك #تتوحمي علي ✌😌
بدكم شي بدي لحق باص #اليابان  😂😂😂😂😂
  ","
  😕😕😕😕
  "
179400,"
   مسااحةة
  ","

   من يخذلكِ يتوقع رؤية إمرأة شاحبة باكية حزينة يائسة..
   
   أقتليه بجمالك ونجاحك وسعادتك ....
   
   وتذكري دائما .....
   
   لا شيء يستطيع كسركِ إلا إذا سمحتِ له ""أنتِ"" بذلك... 💜
  
"
